policy,env,block,grade_true,volume_allocated
thompson,0,4,0.03220558901383833,0.0
thompson,0,5,0.16751606561218754,0.0
thompson,0,6,0.017263973459326534,0.0
thompson,0,7,0.3544474935558451,0.0
thompson,0,8,1.0301808666299073,0.0
thompson,0,9,2.236929144052396,80.0
thompson,0,10,0.3218129271352258,0.0
thompson,0,11,0.7474163509131219,0.0
uniform,0,0,0.7229733006236139,20.0
uniform,0,1,0.07863729638550693,20.0
uniform,0,2,1.9752137622100945,20.0
uniform,0,3,0.1337629825382978,20.0
uniform,0,4,0.03220558901383833,20.0
uniform,0,5,0.16751606561218754,20.0
uniform,0,6,0.017263973459326534,20.0
uniform,0,7,0.3544474935558451,20.0
uniform,0,8,1.0301808666299073,20.0
uniform,0,9,2.236929144052396,20.0
uniform,0,10,0.3218129271352258,20.0
uniform,0,11,0.7474163509131219,20.0
random,0,0,0.7229733006236139,10.0
random,0,1,0.07863729638550693,2.5
random,0,2,1.9752137622100945,12.0
random,0,3,0.1337629825382978,10.0
random,0,4,0.03220558901383833,20.0
random,0,5,0.16751606561218754,50.0
random,0,6,0.017263973459326534,80.0
random,0,7,0.3544474935558451,0.0
random,0,8,1.0301808666299073,30.0
random,0,9,2.236929144052396,20.0
random,0,10,0.3218129271352258,5.0
random,0,11,0.7474163509131219,0.0
eig@gamma-poisson,0,0,0.7229733006236139,24.0
eig@gamma-poisson,0,1,0.07863729638550693,15.0
eig@gamma-poisson,0,2,1.9752137622100945,26.0
eig@gamma-poisson,0,3,0.1337629825382978,23.0
eig@gamma-poisson,0,4,0.03220558901383833,10.0
eig@gamma-poisson,0,5,0.16751606561218754,25.0
eig@gamma-poisson,0,6,0.017263973459326534,5.0
eig@gamma-poisson,0,7,0.3544474935558451,23.0
eig@gamma-poisson,0,8,1.0301808666299073,24.0
eig@gamma-poisson,0,9,2.236929144052396,26.0
eig@gamma-poisson,0,10,0.3218129271352258,21.0
eig@gamma-poisson,0,11,0.7474163509131219,18.0
maxent@gamma-poisson,0,0,0.7229733006236139,0.0
maxent@gamma-poisson,0,1,0.07863729638550693,0.0
maxent@gamma-poisson,0,2,1.9752137622100945,0.0
maxent@gamma-poisson,0,3,0.1337629825382978,0.0
maxent@gamma-poisson,0,4,0.03220558901383833,0.0
maxent@gamma-poisson,0,5,0.16751606561218754,0.0
maxent@gamma-poisson,0,6,0.017263973459326534,0.0
maxent@gamma-poisson,0,7,0.3544474935558451,0.0
maxent@gamma-poisson,0,8,1.0301808666299073,0.0
maxent@gamma-poisson,0,9,2.236929144052396,240.0
maxent@gamma-poisson,0,10,0.3218129271352258,0.0
maxent@gamma-poisson,0,11,0.7474163509131219,0.0
d-optimality@gamma-poisson,0,0,0.7229733006236139,22.0
d-optimality@gamma-poisson,0,1,0.07863729638550693,20.0
d-optimality@gamma-poisson,0,2,1.9752137622100945,24.0
d-optimality@gamma-poisson,0,3,0.1337629825382978,23.0
d-optimality@gamma-poisson,0,4,0.03220558901383833,14.0
d-optimality@gamma-poisson,0,5,0.16751606561218754,24.0
d-optimality@gamma-poisson,0,6,0.017263973459326534,9.0
d-optimality@gamma-poisson,0,7,0.3544474935558451,21.0
d-optimality@gamma-poisson,0,8,1.0301808666299073,22.0
d-optimality@gamma-poisson,0,9,2.236929144052396,24.0
d-optimality@gamma-poisson,0,10,0.3218129271352258,20.0
d-optimality@gamma-poisson,0,11,0.7474163509131219,17.0
neyman@gamma-poisson,0,0,0.7229733006236139,12.0
neyman@gamma-poisson,0,1,0.07863729638550693,6.0
neyman@gamma-poisson,0,2,1.9752137622100945,49.0
neyman@gamma-poisson,0,3,0.1337629825382978,13.0
neyman@gamma-poisson,0,4,0.03220558901383833,5.0
neyman@gamma-poisson,0,5,0.16751606561218754,18.0
neyman@gamma-poisson,0,6,0.017263973459326534,7.0
neyman@gamma-poisson,0,7,0.3544474935558451,19.0
neyman@gamma-poisson,0,8,1.0301808666299073,28.0
neyman@gamma-poisson,0,9,2.236929144052396,41.0
neyman@gamma-poisson,0,10,0.3218129271352258,14.0
neyman@gamma-poisson,0,11,0.7474163509131219,28.0
predictive-variance@gamma-poisson,0,0,0.7229733006236139,40.0
predictive-variance@gamma-poisson,0,1,0.07863729638550693,0.0
predictive-variance@gamma-poisson,0,2,1.9752137622100945,40.0
predictive-variance@gamma-poisson,0,3,0.1337629825382978,40.0
predictive-variance@gamma-poisson,0,4,0.03220558901383833,0.0
predictive-variance@gamma-poisson,0,5,0.16751606561218754,40.0
predictive-variance@gamma-poisson,0,6,0.017263973459326534,0.0
predictive-variance@gamma-poisson,0,7,0.3544474935558451,0.0
predictive-variance@gamma-poisson,0,8,1.0301808666299073,40.0
predictive-variance@gamma-poisson,0,9,2.236929144052396,40.0
predictive-variance@gamma-poisson,0,10,0.3218129271352258,0.0
predictive-variance@gamma-poisson,0,11,0.7474163509131219,0.0
epistemic@gamma-poisson,0,0,0.7229733006236139,40.0
epistemic@gamma-poisson,0,1,0.07863729638550693,0.0
epistemic@gamma-poisson,0,2,1.9752137622100945,40.0
epistemic@gamma-poisson,0,3,0.1337629825382978,40.0
epistemic@gamma-poisson,0,4,0.03220558901383833,0.0
epistemic@gamma-poisson,0,5,0.16751606561218754,40.0
epistemic@gamma-poisson,0,6,0.017263973459326534,0.0
epistemic@gamma-poisson,0,7,0.3544474935558451,0.0
epistemic@gamma-poisson,0,8,1.0301808666299073,40.0
epistemic@gamma-poisson,0,9,2.236929144052396,40.0
epistemic@gamma-poisson,0,10,0.3218129271352258,0.0
epistemic@gamma-poisson,0,11,0.7474163509131219,0.0
