policy,env,spent,rounds,decide_seconds,nlpd,grade_rmse,topm_regret
maxent@lognormal-poisson,0,240.0,240,3.8507034885697067,1.737536425111059,0.5129478731431372,0.24647449453192302
d-optimality@lognormal-poisson,0,30.0,30,0.0038475049659609795,1.6586272296542752,0.37131260361481955,0.09681560022882939
d-optimality@lognormal-poisson,0,60.0,60,0.006834080995758995,1.6073088380607718,0.2480629931032103,0.09681560022882939
d-optimality@lognormal-poisson,0,120.0,120,0.012686531961662695,1.6042644159898696,0.3013432838124631,0.09681560022882939
d-optimality@lognormal-poisson,0,180.0,180,0.018723663961282,1.6125117066183792,0.2807640715938728,0.0656069961692441
d-optimality@lognormal-poisson,0,240.0,240,0.024623294128105044,1.445740779072733,0.1805576295991895,0.0
neyman@lognormal-poisson,0,30.0,30,0.00332397100282833,1.648307539903006,0.3357433749951793,0.09681560022882939
neyman@lognormal-poisson,0,60.0,60,0.006691703019896522,1.6177807590824251,0.28520807734899173,0.09681560022882939
neyman@lognormal-poisson,0,120.0,120,0.013459054054692388,1.6095187073799995,0.2859209391568975,0.09681560022882939
neyman@lognormal-poisson,0,180.0,180,0.020262901001842692,1.6216619117496434,0.2636671403353524,0.0656069961692441
neyman@lognormal-poisson,0,240.0,240,0.02707226001075469,1.51361089952598,0.21226937924884667,0.0
predictive-variance@lognormal-poisson,0,30.0,1,0.000932563008973375,1.7037438137299485,0.38874064484950877,0.24647449453192302
predictive-variance@lognormal-poisson,0,60.0,2,0.0010313780221622437,1.648171688843161,0.39377254429691055,0.24647449453192302
predictive-variance@lognormal-poisson,0,120.0,3,0.001142637018347159,1.5827865974016124,0.29087978558496774,0.10245075006441946
predictive-variance@lognormal-poisson,0,180.0,5,0.0013562020612880588,1.492415042999961,0.21317369204423853,0.004080819832627177
predictive-variance@lognormal-poisson,0,240.0,6,0.0014586780744139105,1.4941573893821471,0.21820710918499572,0.07105540724319326
epistemic@lognormal-poisson,0,30.0,1,0.0009340819960925728,1.7037438137299485,0.38874064484950877,0.24647449453192302
epistemic@lognormal-poisson,0,60.0,2,0.0010327459895052016,1.648171688843161,0.39377254429691055,0.24647449453192302
epistemic@lognormal-poisson,0,120.0,3,0.0011318710166960955,1.5827865974016124,0.29087978558496774,0.10245075006441946
epistemic@lognormal-poisson,0,180.0,5,0.001330689003225416,1.492415042999961,0.21317369204423853,0.004080819832627177
epistemic@lognormal-poisson,0,240.0,6,0.0014296399895101786,1.4941573893821471,0.21820710918499572,0.07105540724319326
thompson@lognormal-poisson,0,30.0,1,0.0004092169983778149,1.6989141675949373,0.3517992982115694,0.09681560022882939
thompson@lognormal-poisson,0,60.0,2,0.0007981569797266275,1.6433420427081498,0.3573517509488421,0.09681560022882939
thompson@lognormal-poisson,0,120.0,3,0.0011861469829455018,1.6438751539643166,0.35855911715446004,0.09681560022882939
thompson@lognormal-poisson,0,180.0,5,0.0019389079534448683,1.6375598654438466,0.3471403834182441,0.09681560022882939
thompson@lognormal-poisson,0,240.0,6,0.0023144249571487308,1.635629254922618,0.34426608695442235,0.09681560022882939
eig,1,30.0,30,0.4672400639683474,1.2526283606751931,0.34819785364394745,0.011172001678627922
eig,1,60.0,60,0.7476053069985937,1.2063842219637813,0.27214287110552404,0.011172001678627922
eig,1,120.0,120,1.255090985010611,1.120554389455927,0.18423327205559398,0.011172001678627922
eig,1,180.0,180,1.7238803991349414,1.116821714993885,0.1758190850603964,0.011172001678627922
eig,1,240.0,240,2.207820524374256,1.0978142352885203,0.1272185489869136,0.011172001678627922
epig,1,30.0,30,3.3507910119660664,1.2357972956875283,0.3304158419418511,0.011172001678627922
epig,1,60.0,60,5.56293477100553,1.192661536034411,0.2611090616894251,0.011172001678627922
epig,1,120.0,120,9.814999637863366,1.129283553181099,0.18590121887380004,0.011172001678627922
epig,1,180.0,180,13.95182417682372,1.1188312346479794,0.1822756276651386,0.011172001678627922
epig,1,240.0,240,18.11476012674393,1.1030991258876734,0.14607381234308275,0.011172001678627922
maxent,1,30.0,30,0.27842082700226456,1.289369725563055,0.35384859083601455,0.038736330887398064
maxent,1,60.0,60,0.4346234450058546,1.2943708705684467,0.3555563508994363,0.038736330887398064
maxent,1,120.0,120,0.8385938389983494,1.2893762206704527,0.3539034454322581,0.038736330887398064
maxent,1,180.0,180,1.2728230628126767,1.2890167687934695,0.35386824641985976,0.038736330887398064
maxent,1,240.0,240,1.708050636923872,1.2890754237097724,0.35388330955878655,0.038736330887398064
d-optimality,1,30.0,30,0.022227280074730515,1.2100116920619612,0.27725100353985366,0.011172001678627922
d-optimality,1,60.0,60,0.038275980099570006,1.2049365352003043,0.27907400709317065,0.011172001678627922
d-optimality,1,120.0,120,0.08498407414299436,1.1305451891379703,0.18543831229402483,0.011172001678627922
d-optimality,1,180.0,180,0.11977754611871205,1.131204689868253,0.19450109610871352,0.011172001678627922
d-optimality,1,240.0,240,0.14706902622128837,1.1089401134868588,0.14806158731043234,0.011172001678627922
neyman,1,30.0,30,0.03390268704970367,1.26217896262538,0.3383678534954795,0.011172001678627922
neyman,1,60.0,60,0.06713157804915681,1.203174486243112,0.28185679231253313,0.011172001678627922
neyman,1,120.0,120,0.1322366159874946,1.1351850446739988,0.17141622759230082,0.011172001678627922
neyman,1,180.0,180,0.19446831790264696,1.125550723226105,0.19049736016731092,0.011172001678627922
neyman,1,240.0,240,0.25548931196681224,1.0838214871641918,0.10421169741471374,0.011172001678627922
predictive-variance,1,30.0,1,0.00743191599030979,1.2599948879178142,0.3063645160081801,0.038736330887397814
predictive-variance,1,60.0,2,0.00791979199857451,1.2237864945656907,0.2323049690195866,0.038736330887397814
predictive-variance,1,120.0,3,0.008410777983954176,1.1650975271692878,0.23757605974357282,0.038736330887397814
predictive-variance,1,180.0,5,0.009342685982119292,1.097979096422654,0.11839086118070358,0.04813904470120353
predictive-variance,1,240.0,6,0.00980883598094806,1.0904123450632874,0.11837239958179799,0.04813904470120353
epistemic,1,30.0,1,0.0077978190092835575,1.2599948879178142,0.3063645160081801,0.038736330887397814
epistemic,1,60.0,2,0.008295581996208057,1.2237864945656907,0.2323049690195866,0.038736330887397814
epistemic,1,120.0,3,0.008839802991133183,1.1650975271692878,0.23757605974357282,0.038736330887397814
epistemic,1,180.0,5,0.009817990037845448,1.097979096422654,0.11839086118070358,0.04813904470120353
epistemic,1,240.0,6,0.010307741031283513,1.0904123450632874,0.11837239958179799,0.04813904470120353
thompson,1,30.0,1,0.004074238007888198,1.2578315451328603,0.31295900050183034,0.038736330887397814
thompson,1,60.0,2,0.008104938024189323,1.2519917439626909,0.30281952949490243,0.038736330887397814
thompson,1,120.0,3,0.01191595199634321,1.1954661193512417,0.30015384996602407,0.038736330887397814
thompson,1,180.0,5,0.01985940002487041,1.1443911577978418,0.23164406495819606,0.011172001678627922
thompson,1,240.0,6,0.02354880204075016,1.1081827644457185,0.11732584878287301,0.011172001678627922
uniform,1,30.0,3,4.265981260687113e-06,1.2871782703078047,0.24743991648203814,0.011172001678627922
uniform,1,60.0,6,7.713999366387725e-06,1.2722977818036254,0.18207970368228424,0.011172001678627922
uniform,1,120.0,12,1.2232980225235224e-05,1.1851480927943845,0.2636725226910577,0.011172001678627922
uniform,1,180.0,18,1.683091977611184e-05,1.1717857722410725,0.24501333079569723,0.011172001678627922
uniform,1,240.0,24,2.170391962863505e-05,1.1372348953238536,0.18879048303744916,0.011172001678627922
random,1,30.0,1,1.9597995560616255e-05,1.2578315451328603,0.31295900050183034,0.038736330887397814
random,1,60.0,2,3.200100036337972e-05,1.2617381822654483,0.31225581839044386,0.038736330887397814
random,1,120.0,5,5.1657960284501314e-05,1.203645092296907,0.3116966349726624,0.038736330887397814
random,1,180.0,9,7.493395241908729e-05,1.1944139512856349,0.31087936236047137,0.038736330887397814
random,1,240.0,29,0.00017210884834639728,1.12467015581107,0.1510099678818802,0.011172001678627922
eig@gamma-poisson,1,30.0,30,0.036783519986784086,1.247552554951173,0.3598154985050958,0.011172001678627922
eig@gamma-poisson,1,60.0,60,0.0614614320511464,1.1724733444039712,0.26962152279077584,0.011172001678627922
eig@gamma-poisson,1,120.0,120,0.10919277503853664,1.0952925324489002,0.15602886451446035,0.011172001678627922
