n_blocks,budget_per_block,policy,nlpd,grade_rmse,topm_regret,nlpd_delta_vs_eig,paired_t
6,40.0,eig,1.250570749274975,0.08786103127095772,0.017248121667903446,0.0,0.0
6,40.0,epig,1.2519758833933488,0.09102085731089883,0.012750101841690188,-0.0014051341183738593,-1.0982209665954574
6,40.0,maxent,1.4257888046053535,0.2706571673672905,0.05487089528104022,-0.17521805533037826,-7.146167122891449
6,40.0,d-optimality,1.249380141263638,0.09111587598472128,0.011568599987649461,0.0011906080113369595,0.5562219382289308
6,40.0,neyman,1.2545171497183465,0.08856078857940813,0.017810320530779935,-0.00394640044337168,-1.4521918083272478
6,40.0,predictive-variance,1.2775346678159971,0.09848801534019973,0.013244288863927811,-0.026963918541021828,-1.9083252051302424
6,40.0,epistemic,1.2682197271861877,0.09421318868175214,0.011609818082093203,-0.017648977911212477,-1.4257561084208945
6,40.0,thompson,1.3572951655490126,0.2007929838743411,0.02810625946936819,-0.1067244162740375,-4.984378551404279
6,40.0,uniform,1.2526965876753071,0.10301691808711362,0.010069975929937722,-0.002125838400332226,-0.6442773059858914
6,40.0,random,1.2874809334642323,0.15990052755219797,0.007607479524294028,-0.03691018418925709,-4.036287950083001
6,40.0,eig@gamma-poisson,1.254621449093176,0.1037154156179536,0.007915342029569158,-0.004050699818200966,-1.2323175075945498
6,40.0,eig@lognormal-poisson,1.2521071070304943,0.08711687268884673,0.017810320530779928,-0.0015363577555193807,-0.7393372140717609
12,20.0,eig,1.4247690675964595,0.16748733540310246,0.011277058114705996,0.0,0.0
12,20.0,epig,1.4263499852639459,0.164385262155892,0.01255131063847415,-0.0015809176674863635,-0.4383811202640358
12,20.0,maxent,1.6995888706139513,0.5853261040950918,0.11229257635610605,-0.2748198030174916,-8.04488095947877
12,20.0,d-optimality,1.4226115369685208,0.17199889535665816,0.01719678433105847,0.0021575306279391776,0.5952593309996057
12,20.0,neyman,1.4382903733572083,0.15432003874300718,0.016621208946984167,-0.013521305760748933,-1.80034077536686
12,20.0,predictive-variance,1.4842327854541326,0.21276949369733753,0.03320581313724181,-0.05946371785767324,-5.297248866796336
12,20.0,epistemic,1.4837515600793665,0.2143988386807164,0.033392883810404075,-0.058982492482906705,-5.373805903269877
12,20.0,thompson,1.6071419492485022,0.4850538331968474,0.06274926352068994,-0.1823728816520427,-6.428692460214362
12,20.0,uniform,1.4412401572738045,0.2156363610274227,0.017801228014586373,-0.016471089677345327,-2.8549335030837626
12,20.0,random,1.5217232761682897,0.3732451053288166,0.057482733993721426,-0.09695420857183003,-4.798945154554531
12,20.0,eig@gamma-poisson,1.4385395769323053,0.18043420832991783,0.014981597629189795,-0.013770509335845971,-2.5827165606301024
12,20.0,eig@lognormal-poisson,1.4341401076749634,0.17073156693043565,0.01594288591104991,-0.009371040078503581,-2.603350633813576
24,10.0,eig,1.458165461823665,0.2483447198618233,0.021345709770209758,0.0,0.0
24,10.0,epig,1.4585339805895619,0.2494742941231245,0.027378673140991558,-0.00036851876589685345,-0.1914227111684502
24,10.0,maxent,1.6980493223568842,0.7855388674764344,0.1942830941317478,-0.2398838605332191,-10.677145722380848
24,10.0,d-optimality,1.4625530352969378,0.2587090040488233,0.02660375431515173,-0.004387573473272681,-1.5897621049304143
24,10.0,neyman,1.4631956143914264,0.23416479382863217,0.021135263483568232,-0.005030152567761362,-0.9616116391967553
24,10.0,predictive-variance,1.5818409566668432,0.5043430225828351,0.10462039395036365,-0.12367549484317801,-7.2942022025273365
24,10.0,epistemic,1.5818409566668432,0.5043430225828351,0.10462039395036365,-0.12367549484317801,-7.2942022025273365
24,10.0,thompson,1.6370545748032985,0.5908037392258542,0.13058562840640695,-0.1788891129796337,-7.910781866487492
24,10.0,uniform,1.479258788995424,0.3136012598360812,0.025001648819082876,-0.02109332717175898,-3.0474572448589803
24,10.0,random,1.6093887776567535,0.6939862509917701,0.16788177025557582,-0.1512233158330887,-9.65810355180862
24,10.0,eig@gamma-poisson,1.4710143912854612,0.27267012996959367,0.026262674777455863,-0.01284892946179623,-2.7668325329209704
24,10.0,eig@lognormal-poisson,1.4590839136088023,0.24668885764639872,0.026485317621336827,-0.0009184517851375066,-0.4555289225990262
48,5.0,eig,1.5399234348646365,0.33456770946947034,0.02292224515300509,0.0,0.0
48,5.0,epig,1.541642997728716,0.33833605663778643,0.020692671806341004,-0.001719562864079131,-0.6536054773018454
48,5.0,maxent,1.8092645318940221,1.225563583358977,0.28868557095752173,-0.26934109702938586,-13.786127880117634
48,5.0,d-optimality,1.543746003128751,0.3504830268039651,0.02513466178652403,-0.0038225682641146916,-1.4559317514896386
48,5.0,neyman,1.548277893401728,0.3246514729465961,0.017843205131413378,-0.008354458537091556,-1.7713130712641627
48,5.0,predictive-variance,1.7295649854700887,0.8442551146212098,0.18876398946691195,-0.1896415506054522,-11.600787975948055
48,5.0,epistemic,1.7295649854700887,0.8442551146212098,0.18876398946691195,-0.1896415506054522,-11.600787975948055
48,5.0,thompson,1.7706817786967524,1.179682703085801,0.24056623655495338,-0.23075834383211577,-14.15136660547743
48,5.0,uniform,1.7086125435744737,1.106470025014822,0.20613780568454657,-0.16868910870983722,-8.250745911650789
48,5.0,random,1.7482715002416942,1.1799913706300862,0.23033175519937488,-0.20834806537705775,-12.248872957693496
48,5.0,eig@gamma-poisson,1.5613476700065132,0.35705688858816503,0.03354891142911803,-0.02142423514187682,-4.77763253444745
48,5.0,eig@lognormal-poisson,1.5377868299198603,0.3279526671230219,0.022384473828828803,0.0021366049447765767,1.3744371012379952
96,2.5,eig,1.6193210992477773,0.4299129514383692,0.025769155551001375,0.0,0.0
96,2.5,epig,1.6149403586178,0.42263956640867456,0.02956130826757157,0.0043807406299782485,2.348690679314364
96,2.5,maxent,1.830310515409927,1.288628220459153,0.3592058747706783,-0.21098941616214958,-17.839154935342435
96,2.5,d-optimality,1.6135201427331953,0.438749446673028,0.030620738798526243,0.005800956514581966,2.3961996621502575
96,2.5,neyman,1.6240510819018075,0.4354642239703315,0.027093659548620183,-0.004729982654029981,-1.3737064078104921
96,2.5,predictive-variance,1.784953525053423,1.0180042429469618,0.2443271131092907,-0.165632425805645,-17.694024159795987
96,2.5,epistemic,1.784953525053423,1.0180042429469618,0.2443271131092907,-0.165632425805645,-17.694024159795987
96,2.5,thompson,1.8049481882197131,1.2241690089245136,0.31774149207398833,-0.18562708897193567,-16.181403722230215
96,2.5,uniform,1.783594665445386,1.3372651198248307,0.3583165879451402,-0.16427356619760833,-13.820914111010245
96,2.5,random,1.796597684980162,1.3291022228294158,0.3348901973180698,-0.17727658573238422,-17.962078008666793
96,2.5,eig@gamma-poisson,1.6341240546493152,0.4499519490789386,0.037547113330016896,-0.014802955401537957,-3.927482409418755
96,2.5,eig@lognormal-poisson,1.618590727372524,0.4278078490331712,0.025769155551001375,0.0007303718752536825,0.3589688009899731
