method,n,seconds,eig,rmse,bias
closed form,0,0.0017769834800856188,0.5834130848863825,0.0,0.0
nested MC,100,0.0016399341238866327,0.5825633600710225,0.10776391118448259,-0.0008497248153600534
nested MC,300,0.0034984268131665885,0.5920831518897431,0.05672801788620718,0.008670067003360593
nested MC,1000,0.04567735962518782,0.5929216155834709,0.020429895874787607,0.009508530697088347
nested MC,3000,0.45298079375061207,0.5856071799256267,0.022285346850901395,0.0021940950392441705
