mixing_law,n_params,loglik,aic,delta_aic,parameters
gamma,2,-18485.347342300887,36974.694684601774,5959.398102652318,"shape=0.4736, scale=38.69"
lognormal,2,-15998.439317537552,32000.878635075103,985.5820531256468,"sigma=1.202, scale=4.737"
generalised inverse Gaussian,3,-15504.648290974728,31015.296581949457,0.0,"p=-1.115, omega=0.02576, scale=246.1"
