model,time,exposure,eig_exact,eig_corrected,sem,z
gig-poisson,0.5,0.4,0.6493677454396818,0.6319328887937686,0.00825025350046827,2.113251022519924
gig-poisson,25.0,20.0,2.4476331976544756,2.434492739770295,0.009152720232889431,1.4356887952241493
gamma-poisson,0.5,0.4,0.6491450648556532,0.6463292814867995,0.009136660991936114,0.30818516428910475
gamma-poisson,25.0,20.0,2.4476767524632357,2.4797259126594198,0.015193917497952979,-2.1093414651291846
lognormal-poisson,0.5,0.4,0.7106306338225585,0.7086061503375456,0.01105020799221941,0.18320772662726387
lognormal-poisson,25.0,20.0,2.498341579169903,2.478280960548775,0.011618029511389617,1.7266799504564734
