policy,env,spent,rounds,decide_seconds,nlpd,flux_dex,topm_regret
epig,1,120.0,240,31.454644363111584,3.541464396405764,0.1420592221903089,0.0
maxent,1,15.0,30,1.5683103609189857,4.411890333068574,0.419565057451701,0.48798023882825825
maxent,1,30.0,60,1.8238068650243804,4.410492749037345,0.419566776317823,0.48798023882825825
maxent,1,60.0,120,2.3266738850506954,4.411718062364912,0.41956591191350995,0.48798023882825825
maxent,1,90.0,180,2.825181041029282,4.427097537844706,0.4197383994491001,0.48798023882825825
maxent,1,120.0,240,3.3268989990465343,4.42676877549989,0.4197384726679326,0.48798023882825825
d-optimality,1,15.0,30,0.04378307511797175,4.271244890345436,0.3334167834809945,0.3906223999008928
d-optimality,1,30.0,60,0.059212093125097454,3.9331809373992317,0.24373684596544004,0.02463491888109312
d-optimality,1,60.0,120,0.0893849941494409,3.667740762258427,0.17388114923786926,0.0
d-optimality,1,90.0,180,0.1226733761432115,3.6699773244535763,0.16383346100048993,0.0
d-optimality,1,120.0,240,0.15666837911703624,3.5462160210229485,0.14461393211543616,0.0
neyman,1,15.0,30,0.14217269798973575,4.251804848619431,0.32526790153404656,0.17112841580826765
neyman,1,30.0,60,0.261899589037057,4.020313780277287,0.26042957871745026,0.11971111591022092
neyman,1,60.0,120,0.5115441492234822,3.7939218786645696,0.20212096283970776,0.0
neyman,1,90.0,180,0.7616603802598547,3.6229830687899933,0.16719985457567973,0.0
neyman,1,120.0,240,1.01263668917818,3.53599662259462,0.15064675208564585,0.0
predictive-variance,1,15.0,1,0.027654232981149107,4.536968879469651,0.45002626617911584,0.6366145014589852
predictive-variance,1,30.0,2,0.028583501960383728,4.493546602559442,0.442312306662461,0.6162360023638406
predictive-variance,1,60.0,3,0.029544659977545962,4.459529048534084,0.44055389313624577,0.4919924899511663
predictive-variance,1,90.0,4,0.030480058980174363,4.433704305261066,0.44027316320208626,0.4919924899511663
predictive-variance,1,120.0,44,0.05138748395256698,4.068613498378914,0.2866744557341428,0.17507428854591997
epistemic,1,15.0,1,0.027196575014386326,4.536968879469651,0.45002626617911584,0.6366145014589852
epistemic,1,30.0,2,0.028134015010436997,4.493546602559442,0.442312306662461,0.6162360023638406
epistemic,1,60.0,3,0.029064316011499614,4.459529048534084,0.44055389313624577,0.4919924899511663
epistemic,1,90.0,4,0.02997763399616815,4.433704305261066,0.44027316320208626,0.4919924899511663
epistemic,1,120.0,44,0.05087268608622253,4.068613498378914,0.2866744557341428,0.17507428854591997
thompson,1,15.0,1,0.01673755800584331,4.530624792398705,0.4492044812937847,0.6366145014589852
thompson,1,30.0,2,0.03232519098673947,4.51366490646637,0.4377866323547932,0.6366145014589852
thompson,1,60.0,3,0.04964373298571445,4.476566223870051,0.437204598237677,0.6366145014589852
thompson,1,90.0,4,0.0655919169948902,4.457544000173943,0.4336285983313317,0.6366145014589852
thompson,1,120.0,44,0.6676138899929356,4.254833579946395,0.3667017729360877,0.4199189564279891
uniform,1,15.0,3,5.328009137883782e-06,4.506827598848196,0.43446392933010874,0.6366145014589852
