policy,env,source,flux_true,time_allocated
d-optimality,0,37,2.05518,2.0
d-optimality,0,38,1.9180400000000002,1.0
d-optimality,0,39,10.5449,3.0
d-optimality,0,40,8.630279999999999,3.0
d-optimality,0,41,6.4809,3.0
d-optimality,0,42,10.3273,3.0
d-optimality,0,43,1.31786,1.5
d-optimality,0,44,2.96704,2.5
d-optimality,0,45,19.5623,3.0
d-optimality,0,46,2.13791,2.0
d-optimality,0,47,20.8898,3.0
neyman,0,0,24.0244,4.5
neyman,0,1,3.12204,2.0
neyman,0,2,17.2236,4.5
neyman,0,3,1.2693200000000002,1.5
neyman,0,4,6.87258,2.5
neyman,0,5,31.879,5.5
neyman,0,6,30.619500000000002,5.5
neyman,0,7,10.731900000000001,2.5
neyman,0,8,1.65587,1.5
neyman,0,9,3.32141,1.5
neyman,0,10,4.1920399999999995,2.5
neyman,0,11,1.16333,1.5
neyman,0,12,1.52467,2.0
neyman,0,13,2.15881,2.0
neyman,0,14,5.45463,2.5
neyman,0,15,4.38114,2.0
neyman,0,16,1.44986,1.5
neyman,0,17,1.81945,1.5
neyman,0,18,15.3468,3.5
neyman,0,19,3.14188,1.5
neyman,0,20,28.5706,5.0
neyman,0,21,3.60401,1.5
neyman,0,22,3.39364,2.5
neyman,0,23,1.33143,1.5
neyman,0,24,1.5639500000000002,1.5
neyman,0,25,5.339799999999999,2.0
neyman,0,26,6.225099999999999,2.5
neyman,0,27,1.6318,1.5
neyman,0,28,4.40425,2.5
neyman,0,29,2.18386,1.5
neyman,0,30,26.5834,5.0
neyman,0,31,2.79027,2.0
neyman,0,32,1.65696,1.5
neyman,0,33,2.95279,2.0
neyman,0,34,2.9660699999999998,2.5
neyman,0,35,11.677,3.5
neyman,0,36,12.8104,3.5
neyman,0,37,2.05518,1.5
neyman,0,38,1.9180400000000002,1.5
neyman,0,39,10.5449,3.0
neyman,0,40,8.630279999999999,3.0
neyman,0,41,6.4809,2.0
neyman,0,42,10.3273,2.0
neyman,0,43,1.31786,1.5
neyman,0,44,2.96704,1.5
neyman,0,45,19.5623,4.0
neyman,0,46,2.13791,1.5
neyman,0,47,20.8898,4.5
predictive-variance,0,0,24.0244,25.0
predictive-variance,0,1,3.12204,0.5
predictive-variance,0,2,17.2236,0.5
predictive-variance,0,3,1.2693200000000002,0.0
predictive-variance,0,4,6.87258,0.5
predictive-variance,0,5,31.879,25.0
predictive-variance,0,6,30.619500000000002,1.5
predictive-variance,0,7,10.731900000000001,0.5
predictive-variance,0,8,1.65587,0.0
predictive-variance,0,9,3.32141,0.5
predictive-variance,0,10,4.1920399999999995,25.0
predictive-variance,0,11,1.16333,0.5
predictive-variance,0,12,1.52467,0.5
predictive-variance,0,13,2.15881,0.0
predictive-variance,0,14,5.45463,0.5
predictive-variance,0,15,4.38114,25.0
predictive-variance,0,16,1.44986,0.5
predictive-variance,0,17,1.81945,0.5
predictive-variance,0,18,15.3468,0.0
predictive-variance,0,19,3.14188,0.5
