order,argument,log_k_reference,log_k_ours,rel_error,unlogged_kv_finite
-0.5,0.05,1.6736574894217229,1.6736574894217229,0.0,True
-0.5,0.9,-0.6215283895263595,-0.6215283895263594,1.1102230246251565e-16,True
-0.5,7.0,-7.747163721882929,-7.747163721882929,0.0,True
-0.5,220.0,-222.47102242053145,-222.47102242053145,0.0,True
0.0,0.05,1.13598322456091,1.13598322456091,0.0,True
0.0,0.9,-0.7200450912998008,-0.7200450912998007,1.1102230246251565e-16,True
0.0,7.0,-7.763902111935108,-7.763902111935108,0.0,True
0.0,220.0,-222.4715893170986,-222.4715893170986,0.0,True
0.7,0.05,2.1330506643631164,2.133050664363117,2.0819440310043372e-16,True
0.7,0.9,-0.528144163287403,-0.528144163287404,9.992007221626409e-16,True
0.7,7.0,-7.731104756010278,-7.731104756010278,0.0,True
0.7,220.0,-222.47047820028098,-222.47047820028098,0.0,True
5.0,0.05,20.929147674426268,20.929147674426268,0.0,True
5.0,0.9,6.427233892873843,6.427233892873843,0.0,True
5.0,7.0,-6.137554740772385,-6.137554740772386,1.4471209744165179e-16,True
5.0,220.0,-222.41490204865596,-222.41490204865596,0.0,True
30.0,0.05,181.2302538583103,181.2302538583103,0.0,True
30.0,0.9,94.5121407849154,94.51214078491539,1.5036009762536375e-16,True
30.0,7.0,32.56171072195328,32.561710721953276,2.1821419084134558e-16,True
30.0,220.0,-220.43387073115292,-220.43387073115292,0.0,True
44.0,0.05,283.1506157810107,283.1506157810107,0.0,True
44.0,0.9,155.96956393011283,155.96956393011283,0.0,True
44.0,7.0,65.43443734149508,65.43443734149508,0.0,True
44.0,220.0,-218.09584181386998,-218.09584181386998,0.0,True
46.0,0.05,298.1192274589216,298.1192274589178,1.277512053193187e-14,True
46.0,0.9,165.1576407146663,165.15764071466302,1.9790162721828058e-14,True
46.0,7.0,70.532302763699,70.5323027637081,1.2914873774875126e-13,True
46.0,220.0,-217.69044078933027,-217.69044078933027,0.0,True
120.0,0.05,894.9972782995078,894.9972782995077,1.2702478597211008e-16,False
120.0,0.9,548.1509709356662,548.1509709356661,2.074005953643725e-16,True
120.0,7.0,301.89729651149185,301.8972965114919,1.8828727357829865e-16,True
120.0,220.0,-190.55646672418814,-190.55646672418823,4.474533441818322e-16,True
800.0,0.05,7495.676534298735,7495.676534298735,0.0,False
800.0,0.9,5183.378875322269,5183.37887532227,1.7546367411091123e-16,False
800.0,7.0,3542.3472654762154,3542.347265476216,1.283745823901684e-16,False
800.0,220.0,769.1849291437964,769.1849291437964,0.0,False
5000.0,0.05,56026.330438949444,56026.33043894945,1.2986675295666317e-16,False
5000.0,0.9,41574.47160908554,41574.47160908555,1.7501022460603837e-16,False
5000.0,7.0,31318.115875538453,31318.115875538453,0.0,False
5000.0,220.0,14077.111441176465,14077.111441176463,1.2921609743211908e-16,False
