site,dwell,exposure,mean_analytic,var_analytic,fano_analytic,mean_marginal,var_marginal,fano_marginal,fano_conditional,y_max_marginal
0,0.1,0.08599526794002044,0.26905851185566737,0.7129686602442717,2.6498647276646414,0.269315,0.717888020215101,2.6656072636693127,0.9412301562925066,24
0,0.22587827631437318,0.19424462893484493,0.6077447288566848,2.872618506546126,4.72668600836772,0.606775,2.8297332480412405,4.663562684753394,0.9450228310502283,46
0,0.5102099571075231,0.4387564196712779,1.3727633179329406,12.928374847621779,9.417774119349923,1.36587,12.602092153560767,9.226421367744198,0.8991292277906764,105
0,1.1524534566987765,0.9910554379721402,3.1007741204229258,62.0586547495604,20.013923084825024,3.08174,61.612666635733184,19.992817900190538,1.0981949567602776,222
0,2.6031420033166066,2.2385789406113314,7.0039751356134685,307.81295260504027,43.94832172374343,7.03271,316.3247316795584,44.97906663001295,1.0692798516151965,637
0,5.879932287106993,5.05646352498943,15.820458309810979,1550.5778132321516,98.01092881554312,15.911285,1584.6981381394655,99.59586156237322,0.9299785667691733,1163
0,13.281489698569587,11.421452652711128,35.734978535235086,7866.2198207890815,220.12661384511262,35.79275,7957.553705206025,222.3230599829861,0.95520723714662,4110
0,30.0,25.79858038200613,80.71755355670021,40032.63090853109,495.95941829939244,80.381075,38493.53873453805,478.8880807396275,1.0933262963850587,5860
1,0.1,0.09513043178408262,0.9790888155685955,2.322446624093226,2.3720489777472227,0.98058,2.319704462122311,2.365645293726479,0.9148075668623614,23
1,0.22587827631437318,0.2148789795643064,2.2115489401931554,9.065494238867235,4.099160581124404,2.21751,9.1520651602258,4.12718100943211,1.0845550525915821,53
1,0.5102099571075231,0.4853649352017695,4.995408625957087,39.96491999449522,8.000330500858317,5.013695,39.98422736811184,7.975001943299669,1.0227721141056911,118
1,1.1524534566987765,1.0963339494681317,11.283542899171387,189.70147185330032,16.812225871648092,11.30701,191.547312596463,16.94058045375948,1.04810055711249,279
1,2.6031420033166066,2.476380227707906,25.487072207841173,935.7931109968332,36.71638324581408,25.62934,946.2768925488627,36.9216254709978,0.9765249639023992,608
