omega,max_abs_log_ratio
1.0,0.7902068422169939
0.1,0.014464811887430873
0.01,0.00014987876019345592
0.001,1.499980971431114e-06
0.0001,1.5000001241105565e-08
1e-05,1.4999912423263595e-10
