field,n,law,n_params,loglik,aic,delta_aic,variance_to_mean,fitted
Fermi-LAT sources,4557,gamma,2,-13383.696935620406,26771.393871240813,1773.1770551220288,9.735898239238594,shape=1.2
Fermi-LAT sources,4557,lognormal,2,-12774.632483621828,25553.264967243656,555.0481511248727,9.735898239238594,sigma=0.912
Fermi-LAT sources,4557,GIG,3,-12496.108408059392,24998.216816118784,0.0,9.735898239238594,"order=-1.43, omega=0.445"
Safecast cells,1107,gamma,2,-6963.722781061748,13931.445562123496,567.5917027548749,449.3998007809297,shape=1.35
Safecast cells,1107,lognormal,2,-6748.109212500871,13500.218425001742,136.36456563312095,449.3998007809297,sigma=0.799
Safecast cells,1107,GIG,3,-6678.92692968431,13363.85385936862,0.0,449.3998007809297,"order=-2.07, omega=0.0856"
20 Newsgroups terms,22460,gamma,2,-20578.017402970712,41160.034805941425,7.055285657173954,0.7851312492034617,shape=1.78
20 Newsgroups terms,22460,lognormal,2,-21255.280641200326,42514.56128240065,1361.5817621164024,0.7851312492034617,sigma=0.847
20 Newsgroups terms,22460,GIG,3,-20573.489760142125,41152.97952028425,0.0,0.7851312492034617,"order=+1.73, omega=0.208"
